"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/16 2:44:39 PM GMT-3","18 a 30","Feminino","Pará (PA)","Superior incompleto","Não sei dizer","Não","Chicha morada","Sim","Milho roxo e milho torrado","Não","Não","",""
"2024/05/16 2:54:04 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não","Não","Chicha morada","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 2:57:50 PM GMT-3","41 a 50","Feminino","Mato Grosso (MT)","Superior completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não sei dizer, mas deve ter, pela diversidade e variedades de milho.","Sim","",""
"2024/05/16 3:07:15 PM GMT-3","18 a 30","Feminino","São Paulo (SP)","Ensino médio completo","Sim","Sim","Chicha morada","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 3:20:56 PM GMT-3","41 a 50","Feminino","Distrito Federal (DF)","Mestrado/Doutourado","Não","Sim","Poke","Não","Milho cozido e milho branco","Não","Não","",""
"2024/05/16 3:24:42 PM GMT-3","31 a 40","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 3:26:13 PM GMT-3","31 a 40","Masculino","Rio de Janeiro (RJ)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Talvez","",""
"2024/05/16 3:31:02 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Não","Não","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 3:35:16 PM GMT-3","41 a 50","Feminino","Distrito Federal (DF)","Mestrado/Doutourado","Não sei dizer","Sim","Chicha morada","Sim","Milho cozido e milho branco","não conheço a comida peruana para analisar sua influência no Brasil","Sim","",""
"2024/05/16 3:39:05 PM GMT-3","31 a 40","Feminino","Distrito Federal (DF)","Superior completo","Não","Não","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Não","Talvez","",""
"2024/05/16 3:50:38 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Não","Não","Chicha morada;Choripán;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 3:55:01 PM GMT-3","31 a 40","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche;Poke","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 3:56:01 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não","Não","Chicha morada;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 3:57:52 PM GMT-3","41 a 50","Feminino","Mato Grosso (MT)","Superior completo","Sim","Sim","Ceviche","Sim","Milho roxo e milho amarelo","Sopa de quinoa","Talvez","",""
"2024/05/16 4:09:14 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Mestrado/Doutourado","Não","Sim","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 4:09:47 PM GMT-3","51 a 60","Feminino","Goiás (GO)","Superior completo","Não","Não","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 4:10:23 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho torrado","sei que tem","Sim","",""
"2024/05/16 4:15:44 PM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 4:22:33 PM GMT-3","18 a 30","Masculino","Goiás (GO)","Superior completo","Não","Não","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 4:53:13 PM GMT-3","41 a 50","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Preparos a base de pescados e milhos podem ter influência ","Sim","",""
"2024/05/16 4:57:02 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não sei dizer","Não","Choripán","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 5:01:06 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não sei dizer","Não","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 5:05:48 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior cursando ","Não","Não","Chicha morada;Tamal","Talvez","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 5:19:53 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior incompleto","Não","Não","Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 5:21:59 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior incompleto","Não sei dizer","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 5:25:24 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Não sei dizer","Não","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Milho cozido ","Sim","",""
